LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
55.4876323,24.9625302,47330 61649,,,,AL MARMOOM,,,,b0aa70f7d0301027
55.4788916,24.9631757,46448 61731,,,,AL MARMOOM,,,,3a0c0bbcb09399a5
55.3561613,25.1852072,34356 86466,,,,RAS AL KHOR IND. SECOND,,,,a07723b097227e49
55.6253654,25.0731019,61360 73747,,,,LEHBAB FIRST,,,,4dc8505c782c4b87
55.631304,25.0689465,61954 73281,,,,LEHBAB FIRST,,,,bc0d7bbbbae931de
55.6281413,25.0643985,61630 72780,,,,LEHBAB FIRST,,,,de0c119c7b2b9609
55.3990441,25.1405944,38619 81474,,,,WARSAN FOURTH,,,,a875d28c7c1e396e
55.386105,25.2724484,37490 96093,15a Street,,,AL QUSAIS SECOND,,,,21469e1b2d41c74f
55.1439192,24.9993666,12681 66160,,,,JABAL ALI INDUSTRIAL FIRST,,,,dc59ec67a677fa38
55.4305859,25.2213233,41903 90378,39a Street,,,MIRDIF,,,,ab7893ac396e4383
55.2200419,25.1499091,20585 82732,3a Street,,,AL MANARA,,,,c4adc725c3ce1a3f
55.3132637,25.271339,30152 96061,39 Street,,,NAIF,,,,07dd21cae844ee9d
55.229651,25.1550264,21561 83286,,,,AL QOUZE IND.FIRST,,,,b2c6f3148b5f28b7
55.1828806,24.99222,16604 65315,,,,DUBAI INVESTMENT PARK FIRST,,,,def520d6675919a5
55.0815912,24.9970729,06386 65994,,,,MENA JABAL ALI,,,,6d1ec2e274561c30
55.3299188,25.2863103,31850 97698,13 Street,,,ABU HAIL,,,,7bf2bcd36b0dacc7
55.3161328,25.2948462,30474 98661,,,,NAKHLAT DEIRA,,,,a6bcf8ef6e70de4a
55.3221625,25.2974546,31084 98942,,,,NAKHLAT DEIRA,,,,0162a2330647b9d8
55.3301923,25.291336,31884 98254,,,,AL WUHEIDA,,,,340c2de131dadf2c
55.1426276,25.0831643,12678 75444,,,,MARSA DUBAI,,,,5cb72ec53c71624d
55.343311,25.2883304,33201 97905,Al Rasheed Road,,,AL WUHEIDA,,,,f149a0edaac23079
55.0562436,24.9569791,03763 61589,,,,MENA JABAL ALI,,,,1b5ca969eea8e9c9
55.0587833,24.9645648,04032 62426,,,,MENA JABAL ALI,,,,01bbb5859a384151
55.2506953,24.816485,23199 45761,,,,MUGATRAH,,,,f03690c499af1948
55.143617,24.9994587,12651 66171,,,,JABAL ALI INDUSTRIAL FIRST,,,,ca2e0f944d785ab1
55.1448912,25.0002262,12781 66254,,,,JABAL ALI INDUSTRIAL FIRST,,,,d26801be76479734
55.4673593,25.1563311,45526 83137,,,,WARSAN THIRD,,,,a0cdd82471f61681
55.262863,25.2227932,25006 90748,28a Street,,,JUMEIRA FIRST,,,,3ae6ff4bfd0232ee
55.2788084,24.9552024,26235 61089,,,,AL YALAYIS 5,,,,bed60d2eab130f7a
55.3411766,25.308307,33014 00120,,,,AL MAMZAR,,,,3febd96a2f813ed2
55.3405491,25.2993997,32938 99135,,,,AL MAMZAR,,,,383548b8f91d5b52
55.2218156,25.1444536,20756 82125,Sheikh Zayed Road,,,AL QOUZE IND.FIRST,,,,260d304276bd1e0f
55.3508415,24.959644,33515 61490,,,,AL YALAYIS 3,,,,96e9e7253272358a
55.3237665,25.2760547,31216 96570,6a Street,,,AL MUTEENA,,,,668b24095e3cee88
55.3239036,25.2770653,31231 96682,,,,AL MUTEENA,,,,ba703b7c9b59855f
55.1286002,24.9981928,11133 66051,,,,JABAL ALI INDUSTRIAL FIRST,,,,f5eda20970c0c508
55.4921547,24.966427,47791 62076,,,,AL MARMOOM,,,,cef697991ab7bd51
55.2217765,25.1775809,20800 85795,,,,JUMEIRA THIRD,,,,c5d02bcd1dd9cb2e
55.4152019,25.2227504,40355 90554,,,,MIRDIF,,,,f00f83d95eb77b62
