LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
22.9501971,40.5927232,02,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,3c9d7659170a18a1
22.9503179,40.5926214,04,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,166472d9d9e245f2
22.9504053,40.5925467,06,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,e7a11db6d2c58ff8
22.9507876,40.5922551,10,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,56b7a79a3200920c
22.9500473,40.5926837,51,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,19bd6a608bdf8649
22.9493938,40.5922147,59,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,bb97a9f9293ab1ee
22.9499385,40.5926073,53,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,d53ad23771d992f2
22.9498319,40.5925289,55,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,8172a2c4c3dd1e33
22.9490923,40.5919887,61,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,9d766d33114b3eea
22.9510901,40.5919798,12,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,2c58025bbc7058b5
22.9512438,40.5918555,14,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,bccd70a6740723f1
22.9506529,40.5923506,08,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,98538b298fa64c52
22.950419,40.5924282,2,ΚΟΥΣΚΟΥΡΑ,,,,,,,2d5e4ccd65d7849f
22.950106,40.5921942,6,ΚΟΥΣΚΟΥΡΑ,,,,,,,110dd596f0b1416d
22.9497771,40.5919465,8,ΚΟΥΣΚΟΥΡΑ,,,,,,,4fe861d6a91ed36e
22.9494242,40.5917083,10,ΚΟΥΣΚΟΥΡΑ,,,,,,,923250d759538e7f
