LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
14.3932886,40.954425,83,VIA PIETRABIANCA,,,,,,,ab08b5ba582553c6
14.3934445,40.9545203,85,VIA PIETRABIANCA,,,,,,,cd625b14c8e47867
14.3935504,40.9545784,87,VIA PIETRABIANCA,,,,,,,81c54f33f254e573
14.3892321,40.9522965,43,VIA PIETRABIANCA,,,,,,,3123972a8137f21b
14.3890941,40.9520438,24,VIA PIETRABIANCA,,,,,,,ae17da3f249f7354
14.3891778,40.9520672,26,VIA PIETRABIANCA,,,,,,,658d4c6cacaef53c
14.3889346,40.9519592,18,VIA PIETRABIANCA,,,,,,,f12ae849fa554902
14.3889962,40.9519933,20,VIA PIETRABIANCA,,,,,,,c9ef34cfd74adc2f
14.3890461,40.9520199,22,VIA PIETRABIANCA,,,,,,,8fe39eae9cde02b9
14.3877144,40.9514137,16,VIA PIETRABIANCA,,,,,,,5142c13b0b80dfbd
14.3861692,40.9510267,23,VIA PIETRABIANCA,,,,,,,386bd8a7b640689a
14.3862337,40.9510574,25,VIA PIETRABIANCA,,,,,,,ab2103878ba220d6
14.3863039,40.9510854,27,VIA PIETRABIANCA,,,,,,,04cc1a7cd6364421
14.3866955,40.9511785,33,VIA PIETRABIANCA,,,,,,,0659223a36ed3e23
14.3866372,40.9511582,31,VIA PIETRABIANCA,,,,,,,1cdbf06ab08ae453
14.3865706,40.9511347,29,VIA PIETRABIANCA,,,,,,,1d6fa3156a04de72
14.3868803,40.9512415,35,VIA PIETRABIANCA,,,,,,,5e95633fbbd43e8b
14.386935,40.9512603,37,VIA PIETRABIANCA,,,,,,,8dac14bf86937e03
14.3870058,40.9512851,39,VIA PIETRABIANCA,,,,,,,d11b02d55d65b6f3
14.3871625,40.9513404,41,VIA PIETRABIANCA,,,,,,,b23ac7a2779089ca
14.3869745,40.9511085,14,VIA PIETRABIANCA,,,,,,,dfadacf65d49053e
14.3857685,40.9509098,19,VIA PIETRABIANCA,,,,,,,2274566c64f592a0
14.3859522,40.9509544,21,VIA PIETRABIANCA,,,,,,,42b5cc3c7601f712
14.3861312,40.9507754,12,VIA PIETRABIANCA,,,,,,,461f1d11c5dfe372
14.3859997,40.9507209,10,VIA PIETRABIANCA,,,,,,,d578bb2f15f31436
14.3832407,40.9577139,75,VIA MURO DI PIOMBO,,,,,,,293ec6d98932c29b
14.3835199,40.9580862,77,VIA MURO DI PIOMBO,,,,,,,30904ef09ff6e3dc
14.3838614,40.9585717,79,VIA MURO DI PIOMBO,,,,,,,726288c2e2c30270
14.3839912,40.9593131,95,VIA MURO DI PIOMBO,,,,,,,1221c6f80bf075f4
14.3839094,40.9592972,93,VIA MURO DI PIOMBO,,,,,,,5eaa895013613bb8
14.3837234,40.9592656,91,VIA MURO DI PIOMBO,,,,,,,b0f9f629b37ef034
14.383623,40.9592479,89,VIA MURO DI PIOMBO,,,,,,,41eb52b21b0cb1dd
14.3834364,40.9592163,87,VIA MURO DI PIOMBO,,,,,,,ee594a8c040ab2e8
14.3833755,40.9592077,85,VIA MURO DI PIOMBO,,,,,,,76184b5d09414458
14.3831947,40.9591687,83,VIA MURO DI PIOMBO,,,,,,,87e08eabdb3ec254
14.3828713,40.9590943,81,VIA MURO DI PIOMBO,,,,,,,6cc1124c0fbce8ab
14.3842023,40.9597197,103,VIA MURO DI PIOMBO,,,,,,,604bb75a77ecf8af
14.3841763,40.9596192,101,VIA MURO DI PIOMBO,,,,,,,b18b8ffa78474d7f
14.3841309,40.9594892,99,VIA MURO DI PIOMBO,,,,,,,16401c915d886cbe
14.3841181,40.9594234,97,VIA MURO DI PIOMBO,,,,,,,a60cb17f7c5a713f
14.3803073,40.95421,27,VIA MURO DI PIOMBO,,,,,,,0a7e3049659e7212
14.3803565,40.9542266,29,VIA MURO DI PIOMBO,,,,,,,941540d742570910
14.3804006,40.9542482,31,VIA MURO DI PIOMBO,,,,,,,e0992c7c3775864d
14.3805645,40.9541829,66,VIA MURO DI PIOMBO,,,,,,,0b6784bab6c3bd8f
14.380454,40.9542851,33,VIA MURO DI PIOMBO,,,,,,,4e5a182de25dfd68
