LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.2152613,44.4463827,0,PINE ST,,,,,,,e6568fc73c860036
-73.2181251,44.4466069,350,QUEEN CITY PARK RD,,,,,,,9946542af9018909
-73.2165529,44.4465951,378,QUEEN CITY PARK RD,,,,,,,9a59997498c24b2e
-73.2172599,44.4466345,364,QUEEN CITY PARK RD,,,,,,,164702747653d044
-73.2156859,44.4465274,396,QUEEN CITY PARK RD,,,,,,,4e32d0e58191174a
-73.2161913,44.446643,388,QUEEN CITY PARK RD,,,,,,,0ee4db290e3e8557
-73.2165117,44.4468434,382,QUEEN CITY PARK RD,,,,,,,8197d5e72d3dac02
-73.2150756,44.4470721,1149,PINE ST,,,,,,,68c8d8a5c95b2d34
-73.2277756,44.4469415,151,DUNDER RD,,,,,,,2c1f35b78d442da1
-73.2151323,44.4472373,1143,PINE ST,,,,,,,5b71b227ca1bb34c
-73.2283607,44.4470692,145,DUNDER RD,,,,,,,dc85adac1513fbfb
-73.2272848,44.4470373,144,DUNDER RD,,,,,,,a34be8609fe1f247
-73.2151158,44.4474086,1135,PINE ST,,,,,,,ce6ea088e42e8a54
-73.2296451,44.4471465,203,SOUTH COVE RD,,,,,,,a05a4df11057b2f3
-73.2151022,44.4475108,0,PINE ST,,,,,,,ec876f8cddc684b8
-73.230174,44.4471576,191,SOUTH COVE RD,,,,,,,61b33426db09d7fe
-73.2290894,44.4471087,215,SOUTH COVE RD,,,,,,,63c5c731c305d761
-73.2309132,44.4472101,185,SOUTH COVE RD,,,,,,,f5d33ec4bc40fdcb
-73.2142695,44.4474947,1132,PINE ST,,,,,,,5c02015bfa97e9ec
-73.2283004,44.4474424,139,DUNDER RD,,,,,,,5624f67706cc39e4
-73.2156155,44.4474291,135,SOUTH CREST DR,,,,,,,fe774c1a27837dd7
-73.2273517,44.4474814,136,DUNDER RD,,,,,,,f75b3199c063ab7e
-73.2150853,44.4477489,1125,PINE ST,,,,,,,01be34dfa1b2dcae
-73.2309,44.4476118,177,SOUTH COVE RD,,,,,,,878a2508e6319994
-73.2193503,44.4471721,152,INDUSTRIAL PW,,,,,,,9edf2f04a8443a06
-73.2288425,44.4475293,227,SOUTH COVE RD,,,,,,,eac9d38c0c7b86ae
-73.2114596,44.446728,1110,PINE ST,,,,,,,82a2098fa24606b8
-73.2159456,44.4476467,129,SOUTH CREST DR,,,,,,,80a235c2dae2c0dc
-73.2143294,44.4477986,1124,PINE ST,,,,,,,c05d47bd608a641a
-73.2150698,44.4479193,1123,PINE ST,,,,,,,d77b1454913178b3
-73.2281623,44.4477554,129,DUNDER RD,,,,,,,890064dde51ea262
-73.2294464,44.447787,228,SOUTH COVE RD,,,,,,,919aad4b5ff2a6ff
-73.2172553,44.4472392,9,ARTHUR CT,,,,,,,ae4a24b680a84c45
-73.2299485,44.4477853,170,SOUTH COVE RD,,,,,,,42406876148ed1db
-73.2308803,44.4478882,169,SOUTH COVE RD,,,,,,,06d19f95cefc7a5a
-73.2273724,44.447843,122,DUNDER RD,,,,,,,ef219ea34bc9c860
-73.2218983,44.4472296,149,INDUSTRIAL PW,,,,,,,f75501be7fb50aaf
-73.2163285,44.4479374,109,SOUTH CREST DR,,,,,,,6b9f544ae419d5fe
-73.2286135,44.4478765,241,SOUTH COVE RD,,,,,,,62cca6d508ff5be7
-73.2095074,44.4478513,0,- -,,,,,,,ac010b4d16eda688
-73.2143,44.4481392,1120,PINE ST,,,,,,,a23f2f72e5704c27
-73.2155361,44.4480578,124,SOUTH CREST DR,,,,,,,2c83dc7ae497e8b2
-73.2292711,44.4481093,240,SOUTH COVE RD,,,,,,,1fe59ea322a94399
-73.2150472,44.4481756,1119,PINE ST,,,,,,,28845eb1af0f0fe1
-73.215901,44.448237,112,SOUTH CREST DR,,,,,,,e84f90329bb12cba
-73.2298419,44.4481206,150,SOUTH COVE RD,,,,,,,ae2d2336724ff1ff
-73.2165772,44.4482625,103,SOUTH CREST DR,,,,,,,a46ba170305b179a
-73.2308338,44.4481649,159,SOUTH COVE RD,,,,,,,b5454677247c8b89
-73.2279799,44.4481262,115,DUNDER RD,,,,,,,b2c5556afe806c38
-73.2272228,44.4481741,110,DUNDER RD,,,,,,,df5713cb28ec14fe
-73.2283867,44.4482125,0,SOUTH COVE RD,,,,,,,39cc9cd4cc4b5301
-73.2166221,44.4484654,99,SOUTH CREST DR,,,,,,,23492781bb41f748
-73.2150199,44.4484741,1099,PINE ST,,,,,,,be99c8a6cf1e84ab
-73.2306466,44.4484192,147,SOUTH COVE RD,,,,,,,34ee55c621218144
