LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-119.4632411,46.2686207,38121,N DEMOSS,,Benton City,,,99320,,ee10ed52fb8500ea
-119.3930855,46.2168861,50619,E BADGER,,Benton City,,,99320,,c8ebdda82d6a3313
-118.9983981,46.1135118,64834,S MEALS,,Kennewick,,,99337,,e34d745ee40ff729
-119.0373437,46.0382994,117108,S FINLEY,,Kennewick,,,99337,,8b352220b53c8da1
-119.0568006,46.0225537,126190,S FINLEY,,Kennewick,,,99337,,2db37065bfa03040
-119.1205472,45.9939357,148804,S NINE CANYON,,Kennewick,,,99337,,f0e5def27b801db7
-119.1301307,45.9874197,152330,S NINE CANYON,,Plymouth,,,99346,,b6d1835458e19dc2
-119.6108052,45.9494874,183514,S SR 221,,Paterson,,,99345,,1f64f9d0038203ca
-119.8254454,46.2866159,157403,W EVANS,,Grandview,,,98930,,aa89970de7ebbe16
-119.8260784,46.2866796,157703,W EVANS,,Grandview,,,98930,,3ec6724891af5890
-119.7444799,45.8805308,218450,S SANDPIPER,,Paterson,,,99345,,a419a7b5ef49d3c4
-119.7402804,45.8853502,218450,S SANDPIPER,,Paterson,,,99345,,bb24f1720399106d
-119.7168947,46.216238,3375,SALES YARD,,Prosser,,,99350,,ad2cb7098fba070a
-119.639047,46.2553063,69202,W O.I.E.,,Prosser,,,99350,,096579e81558a86a
-119.6839649,46.2477656,22313,N BEERS,,Prosser,,,99350,,6ef25745d7df210b
-119.0346609,46.1664267,28704,S FINLEY,,Kennewick,,,99337,,0cccd9ee64665e0d
-119.3477617,46.2353861,16304,N DALLAS,,Richland,,,99352,,7f1ce580d9ec4200
-119.3444128,46.2428237,5214,E 210,,Richland,,,99352,,1ba494c63d89ee24
-119.4022077,46.2911622,44302,E RIDGE CREST,,Benton City,,,99320,,dbd7497baeedd6df
-119.4531045,46.2991313,19410,E 583,,Benton City,,,99320,,526ce98ca659c035
-119.5822532,45.9839109,158695,S SR 221,,Paterson,,,99345,,c289fb72d3b0f5ff
-119.2121656,46.1403688,137205,E LOCUST GROVE,,Kennewick,,,99338,,1f044bcef8dcf061
-119.7814367,46.208334,440,NORTH RIVER,,Prosser,,,99350,,4899b0964653a3cb
-119.7064137,46.2328512,100608,W O.I.E.,,Prosser,,,99350,,56431f2d544d7a9a
-119.706967,46.2362411,14502,N ROTHROCK,,Prosser,,,99350,,b714bd1cd01daab8
-119.7067111,46.2381426,15802,N ROTHROCK,,Prosser,,,99350,,acaea2aac5f0c9f3
-119.7060036,46.2359,14601,N ROTHROCK,,Prosser,,,99350,,1c68433da127f001
-119.7054841,46.2354456,100401,W O.I.E.,,Prosser,,,99350,,57a7c53f1252670c
-119.6340251,46.2418271,66201,W YAKITAT,,Prosser,,,99350,,020a2f13f3feed10
-119.7228363,46.2439194,109004,W KING TULL,,Prosser,,,99350,,42cea8d5a6c5dec5
-119.6194388,46.281387,46002,N DISTRICT LINE,,Prosser,,,99350,,1999e49c76980fe2
-119.6486402,46.2873348,73201,W EVANS,,Prosser,,,99350,,f9ed821c7df501fa
-119.7285839,46.2952991,111306,W KUHLMAN,,Prosser,,,99350,,b820c827ccf395ac
-119.7235863,46.2892334,50811,N MCDONALD,,Prosser,,,99350,,727c93b6fcc0d5ad
-119.0901289,46.1525545,195411,E GAME FARM,,Kennewick,,,99337,,f37dc799cf33e197
-119.0185048,46.1485007,230306,E SR 397,,Kennewick,,,99337,,fc46b18dea407a4e
-119.0190642,46.1483218,230006,E SR 397,,Kennewick,,,99337,,ca8209e481eeae43
-119.0240942,46.1494051,227305,E SR 397,,Kennewick,,,99337,,532ce01f413854eb
-119.0244655,46.1497671,227305,E SR 397,,Kennewick,,,99337,,c5be42ba79ed0068
-119.0100486,46.1507769,233614,E LECHELT,,Kennewick,,,99337,,7474fe3e03a74003
-119.0229657,46.1584989,228919,E COCHRAN,,Kennewick,,,99337,,c24925332be14c7f
-119.0208765,46.1541272,228812,E GAME FARM,,Kennewick,,,99337,,4e325607dc4a55ac
-119.0335903,46.1540189,222604,E GAME FARM,,Kennewick,,,99337,,be2df96e50e40c67
-119.0331493,46.1539282,222608,E GAME FARM,,Kennewick,,,99337,,d469e98d46180d86
-119.0482474,46.1682332,215505,E BOWLES,,Kennewick,,,99337,,0994cb6722f9871e
-119.0387531,46.1607496,220605,E COCHRAN,,Kennewick,,,99337,,cfd76c751dc6083d
-119.0346097,46.1573011,35310,S FINLEY,,Kennewick,,,99337,,5fb1ce1338ced8ed
-119.0991573,46.1742685,24524,S OAK,,Kennewick,,,99337,,2f259828fa29342a
-119.055266,46.1720764,25204,S HANEY,,Kennewick,,,99337,,b14464a50faabbf8
-119.0393858,46.1761956,219606,E PERKINS,,Kennewick,,,99337,,21d513ebde95ca2b
-119.0448038,46.1755681,217103,E PERKINS,,Kennewick,,,99337,,368fb75b4c2f433f
-119.051238,46.1703504,214307,E SR 397,,Kennewick,,,99337,,9a4f08bd3b41f42e
-119.050656,46.1700213,214401,E SR 397,,Kennewick,,,99337,,6312ab2593012694
-119.0498947,46.1703968,214410,E SR 397,,Kennewick,,,99337,,b4904d082b18bc84
-119.0501739,46.1701566,214410,E SR 397,,Kennewick,,,99337,,68fb556292e6b1f2
-119.0497906,46.1700235,214410,E SR 397,,Kennewick,,,99337,,9746e86f2f0870df
-119.0505125,46.1689081,214711,E SR 397,,Kennewick,,,99337,,c51ab592bcea9eb1
-119.0530299,46.1719153,213507,E SR 397,,Kennewick,,,99337,,4b3963517fe15883
-119.0519161,46.169758,214311,E SR 397,,Kennewick,,,99337,,e30aca86491b8016
-119.0334175,46.1747798,23005,S FINLEY,,Kennewick,,,99337,,d01a7b2cc2eceb82
-119.0511072,46.1861229,15804,S KIRBY,,Kennewick,,,99337,,176bbd685a535480
-119.0339698,46.18324,222008,E BRYSON BROWN,,Kennewick,,,99337,,6baa52f17962a455
-119.0693217,46.1950892,204912,E FINLEY,,Kennewick,,,99337,,e53e6c7d26ea8f78
-119.0695455,46.1950265,204908,E FINLEY,,Kennewick,,,99337,,908dbe6876e53329
-119.0754159,46.1854566,202131,E 25TH,,Kennewick,,,99337,,a01a07d833a4d333
-119.0778455,46.1951049,201512,E FINLEY,,Kennewick,,,99337,,465c0a267f7859f2
-119.0760582,46.1882072,202132,E 25TH,,Kennewick,,,99337,,3a058b1869d46c47
-119.0761025,46.1899229,202123,E SR 397,,Kennewick,,,99337,,8730b3c9e6078652
-119.0881748,46.1839285,195908,E 27TH,,Kennewick,,,99337,,deb9f0483811ecae
-119.0731809,46.1995479,202920,E 10TH,,Kennewick,,,99337,,7d7034cf9ea147b3
-119.3429965,46.2466162,23509,N DALLAS,,Richland,,,99352,,548caa0be5178fe2
-119.2869128,46.2137794,1106,N JURUPA,,Richland,,,99338,,88ca7617bd0e286d
-119.32218,46.2796029,2211,N RIVERSIDE,,Richland,,,99353,,db8787a2e4deb353
-119.5029928,46.278839,3801,W WILLIAMS,,Benton City,,,99320,,eb49eff4ac2ec1cf
-119.6071766,46.2594328,54603,W O.I.E.,,Prosser,,,99320,,0911c8127eef3c79
-119.5323337,46.285074,49106,N WHITMORE,,Benton City,,,99320,,99b544651771c1ec
-119.4836741,46.2754941,42901,N RIVER,,Benton City,,,99320,,19fc729779c1d352
-119.4059618,46.2981734,58907,N 423,,Benton City,,,99320,,7199e35e4607c209
-119.5605159,46.0588334,107204,S 293,,Prosser,,,99350,,45c5acfa31b5a2d6
-119.8623601,46.2229814,5003,N HICKS,,Grandview,,,98930,,1d43a9f8d6956d3f
-119.779678,46.2275509,8002,N WAMBA,,Prosser,,,99350,,533a7db0d86d3249
-119.769546,46.2569569,28708,N HINZERLING,,Prosser,,,99350,,3e7380f38b8dabe0
-119.7888865,46.2079618,140002,W NORTH RIVER,,Prosser,,,99350,,b20e70d2623fbf7c
-119.7883329,46.2079561,139902,W NORTH RIVER,,Prosser,,,99350,,46d5337e5864a933
-119.7065583,46.2358765,100902,W FOISY,,Prosser,,,99350,,f7fd85ffb9f1dc30
-119.7241196,46.2890082,50803,N MCDONALD,,Prosser,,,99350,,fc1e3f2742ecd573
-119.026249,46.1534053,226203,E GAME FARM,,Kennewick,,,99337,,b452b40ff520c1eb
-119.0308309,46.1511665,"224204, 224206 & 224208",E MAIN,,Kennewick,,,99337,,4fc8b3bf821ab388
-119.07232,46.1684493,204003,E BOWLES,,Kennewick,,,99337,,ac0a5a802d8ad78a
-119.323557,46.1891555,15611,S MOUNTAIN RIDGE,,Kennewick,,,99338,,b5bdabac03b5931b
-119.0745474,46.1691158,202802,E BOWLES,,Kennewick,,,99337,,4bea9157773bd05a
-119.0349033,46.1801119,19506,S FINLEY,,Kennewick,,,99337,,0669aeee23d4c15f
-119.0508417,46.1882789,14104,S KIRBY,,Kennewick,,,99337,,912ba265fb3f43e0
-119.0502295,46.1858957,15603,S KIRBY,,Kennewick,,,99337,,0480db825064c96f
-119.0489068,46.1866678,215101,E 22ND,,Kennewick,,,99337,,cb2b53e3a95d7891
-119.0346967,46.1839243,16803,S STEVENS,,Kennewick,,,99337,,725f743185ac0a00
-119.0762008,46.1976768,8006,S HAVANA,,Kennewick,,,99337,,d25effdf8f9d61f0
-119.4835382,46.323621,75813,N OVERLOOK,,Benton City,,,99320,,bea4695b4a6b1f8d
-119.4040211,46.2892965,43502,E RIDGE CREST,,Benton City,,,99320,,aef1fb02937dab1a
-119.4044092,46.2954002,57304,N 435,,Benton City,,,99320,,342098838ab67a07
